,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km Driven,Ownership,Fuel Type,RTO Office,Discounted_Car_Price,Baseline Price,Car_Type
803,Maruti Wagon R 1.0,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2010,Maruti,89928,1ST OWNER,PETROL,KA-03,269000,289000,Manual
804,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,58323,1ST OWNER,PETROL,KA-02,366000,396000,Manual
805,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,102814,1ST OWNER,PETROL,KA-03,390000,417000,Manual
806,Maruti Swift,VDIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,106516,1ST OWNER,DIESEL,KA-01,448000,469000,Manual
807,Maruti Alto K10,LXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Maruti,38144,2ND OWNER,PETROL,KA-41,223000,233000,Manual
808,Maruti Alto 800,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Maruti,43382,2ND OWNER,PETROL,KA-02,278000,278000,Manual
809,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,40792,2ND OWNER,PETROL,KA-53,478000,478000,Manual
810,Maruti Ritz,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Maruti,86017,2ND OWNER,PETROL,KA-41,283000,283000,Manual
811,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,31749,2ND OWNER,PETROL,KA-03,535000,535000,Automatic
812,Honda City,1.5L I-VTEC V MTManual,"Hosur Road, Singasandra, Bengaluru",Sedan,2015,Honda,121655,1ST OWNER,PETROL,KA-02,574000,643000,Manual
813,Honda City,1.5L I-VTEC VXManual,"Hosur Road, Singasandra, Bengaluru",Sedan,2015,Honda,75724,2ND OWNER,PETROL,KA-03,646000,677000,Manual
814,Maruti Swift Dzire,ZXIManual,"Bellahalli, Bengaluru",Sedan,2014,Maruti,81777,3RD OWNER,PETROL,KA-50,479000,479000,Manual
815,Honda City,1.5L I-DTEC VManual,"Bellahalli, Bengaluru",Sedan,2014,Honda,133114,1ST OWNER,DIESEL,KA-02,529000,581000,Manual
816,Honda City,1.5L I-VTEC S MTManual,"Bellahalli, Bengaluru",Sedan,2010,Honda,69203,3RD OWNER,PETROL,KA-01,307000,307000,Manual
817,Hyundai Verna,FLUIDIC 1.6 CRDI SXManual,"Horamavu Agara Road, Bengaluru",Sedan,2012,Hyundai,79291,2ND OWNER,DIESEL,KA-04,486000,491000,Manual
818,Maruti Swift Dzire,ZXIManual,"Horamavu Agara Road, Bengaluru",Sedan,2015,Maruti,43469,1ST OWNER,PETROL,KA-52,657000,682000,Manual
819,Hyundai Verna,FLUIDIC 4S 1.4 VTVTManual,"Hosur Road, Singasandra, Bengaluru",Sedan,2017,Hyundai,27636,2ND OWNER,PETROL,KA-50,693000,727000,Manual
820,Honda Amaze,1.2L I-VTEC VX CVTAutomatic,"Hosur Road, Singasandra, Bengaluru",Sedan,2022,Honda,12851,1ST OWNER,PETROL,KA-01,912000,912000,Automatic
821,Tata Zest,XMS PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2014,Tata,53473,1ST OWNER,PETROL,KA-03,416000,457000,Manual
822,Maruti Swift Dzire,VXIManual,"Bellahalli, Bengaluru",Sedan,2015,Maruti,60386,1ST OWNER,PETROL,KA-53,540000,540000,Manual
823,Hyundai Verna,1.6 VTVT SX OManual,"Hosur Road, Singasandra, Bengaluru",Sedan,2017,Hyundai,33394,1ST OWNER,PETROL,KA-51,865000,865000,Manual
824,Maruti Swift Dzire,VXIManual,"Bellahalli, Bengaluru",Sedan,2013,Maruti,65881,2ND OWNER,PETROL,KA-53,451000,469000,Manual
825,Honda City,1.5L I-VTEC V MTManual,"Horamavu Agara Road, Bengaluru",Sedan,2013,Honda,49586,2ND OWNER,PETROL,KA-03,489000,572000,Manual
826,Skoda Rapid,1.5 TDI MT AMBITIONManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2017,Skoda,48960,2ND OWNER,DIESEL,KA-52,751600,863000,Manual
827,Maruti Swift Dzire,VXIManual,Sonnappanahalli,Sedan,2014,Maruti,58833,2ND OWNER,PETROL,KA-51,447000,526000,Manual
828,Skoda Rapid,ACTIVE 1.0 TSIManual,"Bellahalli, Bengaluru",Sedan,2020,Skoda,11633,1ST OWNER,PETROL,KA-05,878000,878000,Manual
829,Maruti Swift Dzire,ZXIManual,"Bellahalli, Bengaluru",Sedan,2016,Maruti,71423,1ST OWNER,PETROL,KA-53,573000,651000,Manual
830,Volkswagen Vento,COMFORTLINE 1.6Manual,"Horamavu Agara Road, Bengaluru",Sedan,2015,Volkswagen,60841,2ND OWNER,PETROL,KA-03,539000,567000,Manual
831,Toyota YARIS,J MTManual,"Garuda Mall, Magrath Road, Bengaluru",Sedan,2018,Toyota,24612,1ST OWNER,PETROL,KA-04,693000,869000,Manual
832,Skoda Rapid,ACTIVE 1.0 TSIManual,Sonnappanahalli,Sedan,2020,Skoda,29184,1ST OWNER,PETROL,KA-04,799000,819000,Manual
833,Honda City,1.5L I-VTEC V MTManual,"Bellahalli, Bengaluru",Sedan,2012,Honda,49853,2ND OWNER,PETROL,KA-03,487000,521000,Manual
834,Tata TIGOR,XZ (O) PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2017,Tata,51041,1ST OWNER,PETROL,KA-06,520000,546000,Manual
835,Honda City,1.5L I-VTEC S MTManual,"Bellahalli, Bengaluru",Sedan,2013,Honda,114622,2ND OWNER,PETROL,KA-53,447000,465000,Manual
836,Honda Amaze,1.2L I-VTEC VXManual,"Bellahalli, Bengaluru",Sedan,2020,Honda,37176,2ND OWNER,PETROL,KA-53,669000,737000,Manual
837,Honda Amaze,1.2L I-VTEC VManual,"Horamavu Agara Road, Bengaluru",Sedan,2018,Honda,51569,2ND OWNER,PETROL,KA-03,577500,610000,Manual
838,Maruti Dzire,VXI AMTAutomatic,"Horamavu Agara Road, Bengaluru",Sedan,2019,Maruti,23212,1ST OWNER,PETROL,KA-02,692000,763000,Automatic
839,Skoda Rapid,AMBITION 1.6 MPI MTManual,Sonnappanahalli,Sedan,2017,Skoda,36024,1ST OWNER,PETROL,KA-03,713000,797000,Manual
840,Honda Amaze,1.2L I-VTEC VXManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2016,Honda,19356,2ND OWNER,PETROL,KA-03,529000,603000,Manual
841,Maruti Dzire,VXIManual,"Horamavu Agara Road, Bengaluru",Sedan,2017,Maruti,43525,1ST OWNER,PETROL,KA-05,603600,713000,Manual
842,Volkswagen Vento,HIGHLINE TDI ATAutomatic,"Horamavu Agara Road, Bengaluru",Sedan,2015,Volkswagen,74997,1ST OWNER,DIESEL,KA-04,704000,874000,Automatic
843,Hyundai Xcent,SX 1.2Manual,"Bellahalli, Bengaluru",Sedan,2018,Hyundai,31738,1ST OWNER,PETROL,KA-53,618000,705000,Manual
844,Volkswagen Ameo,TRENDLINE 1.2LManual,"Bellahalli, Bengaluru",Sedan,2016,Volkswagen,94548,2ND OWNER,PETROL,KA-03,423000,479000,Manual
845,Hyundai Verna,FLUIDIC 1.6 CRDI SX ATAutomatic,"Bellahalli, Bengaluru",Sedan,2012,Hyundai,99327,2ND OWNER,DIESEL,KA-41,494250,569000,Automatic
846,Honda City,1.5L I-VTEC ZX CVTAutomatic,"Bellahalli, Bengaluru",Sedan,2017,Honda,62708,1ST OWNER,PETROL,KA-01,1044000,1055000,Automatic
847,Honda City,1.5L I-VTEC V MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2018,Honda,25742,2ND OWNER,PETROL,KA-01,796000,868000,Manual
848,Hyundai Verna,SX (O) 1.5 CRDIManual,"Horamavu Agara Road, Bengaluru",Sedan,2020,Hyundai,33760,1ST OWNER,DIESEL,KA-19,1372000,1466000,Manual
849,Volkswagen Ameo,HIGHLINE DSG 1.5 DIESEL Automatic,"Bellahalli, Bengaluru",Sedan,2017,Volkswagen,78752,2ND OWNER,DIESEL,KA-41,564000,640000,Automatic
850,Maruti Ciaz,DELTA AT 1.5 SHVS PETROLAutomatic,"Bellahalli, Bengaluru",Sedan,2019,Maruti,54561,2ND OWNER,PETROL,KA-51,795000,942000,Automatic
851,Honda City,1.5L I-VTEC V MTManual,"Bellahalli, Bengaluru",Sedan,2017,Honda,56253,3RD OWNER,PETROL,KA-03,672000,733000,Manual
852,Honda City,1.5L I-VTEC V MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2013,Honda,49873,1ST OWNER,PETROL,KA-05,543000,593000,Manual
853,Honda City,1.5L I-VTEC VX CVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2015,Honda,90333,2ND OWNER,PETROL,KA-03,729000,786000,Automatic
854,Honda City,1.5L I-VTEC V MTManual,"Bellahalli, Bengaluru",Sedan,2016,Honda,43238,2ND OWNER,PETROL,KA-03,665000,814000,Manual
855,Skoda SLAVIA,AMBITION 1.0L TSI MTManual,"Horamavu Agara Road, Bengaluru",Sedan,2022,Skoda,7281,1ST OWNER,PETROL,KA-05,1358000,1452000,Manual
856,Maruti Ciaz,ALPHA 1.5 SHVS PETROLManual,"GT World Mall, Bengaluru",Sedan,2018,Maruti,34761,1ST OWNER,PETROL,KA-53,778000,811000,Manual
857,Honda City,1.5L I-VTEC VXManual,"Horamavu Agara Road, Bengaluru",Sedan,2017,Honda,53295,2ND OWNER,PETROL,KA-30,713000,805000,Manual
858,Maruti Ciaz,ZETA 1.5 SHVS MT PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2022,Maruti,13301,1ST OWNER,PETROL,KA-19,998000,1074000,Manual
859,Maruti Swift Dzire,VDIManual,Sonnappanahalli,Sedan,2015,Maruti,51745,2ND OWNER,DIESEL,KA-05,543000,572000,Manual
860,Honda City,1.5L I-VTEC V MTManual,"Horamavu Agara Road, Bengaluru",Sedan,2017,Honda,54531,1ST OWNER,PETROL,KA-36,692000,734000,Manual
861,Volkswagen Ameo,COMFORTLINE 1.2LManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",Sedan,2016,Volkswagen,31293,1ST OWNER,PETROL,KA-02,527000,585000,Manual
862,Honda City,1.5L I-VTEC SV CVTAutomatic,"GT World Mall, Bengaluru",Sedan,2015,Honda,94947,1ST OWNER,PETROL,KA-03,587000,649000,Automatic
863,Maruti Dzire,VXI AMTAutomatic,"Bellahalli, Bengaluru",Sedan,2018,Maruti,45215,2ND OWNER,PETROL,KA-04,602000,650000,Automatic
864,Maruti Dzire,VXIManual,"Bellahalli, Bengaluru",Sedan,2022,Maruti,6324,1ST OWNER,PETROL,KA-51,796000,820000,Manual
865,Volkswagen Vento,COMFORTLINE 1.6Manual,"Bellahalli, Bengaluru",Sedan,2018,Volkswagen,28050,2ND OWNER,PETROL,KA-03,745000,819000,Manual
