,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km Driven,Ownership,Fuel Type,RTO Office,Discounted_Car_Price,Baseline Price,Car_Type
315,Maruti Alto 800,VXIManual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,26215,1ST OWNER,PETROL,KA-51,321000,353000,Manual
316,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,52486,2ND OWNER,PETROL,KA-35,505000,552000,Manual
317,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2018,Hyundai,16247,1ST OWNER,PETROL,KA-03,633000,673000,Manual
318,Maruti Celerio,ZXI AMT (O)Automatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Maruti,86678,3RD OWNER,PETROL,KA-01,397000,470000,Automatic
319,Maruti Alto,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,67329,1ST OWNER,PETROL,KA-16,325000,380000,Manual
320,Renault Kwid,RXT 1.0 EASY-R ATAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Renault,34398,1ST OWNER,PETROL,KA-02,434000,473000,Automatic
321,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Hyundai,49641,1ST OWNER,PETROL,KA-53,541000,595000,Automatic
322,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Hyundai,96455,1ST OWNER,PETROL,KA-02,394000,488000,Manual
323,Maruti Swift,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,49570,1ST OWNER,PETROL,KA-02,507000,560000,Manual
324,Hyundai Elite i20,ASTA 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2016,Hyundai,53789,1ST OWNER,PETROL,KA-53,633000,713000,Manual
325,Hyundai Elite i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,59734,2ND OWNER,PETROL,KA-05,606000,682000,Manual
326,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2011,Hyundai,69532,1ST OWNER,PETROL,KA-05,323000,345000,Automatic
327,Maruti Swift,ZDIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,67791,2ND OWNER,DIESEL,KA-05,644000,682000,Manual
328,Honda Jazz,1.2L I-VTEC V ATAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Honda,55412,1ST OWNER,PETROL,KA-09,552000,603000,Automatic
329,Maruti S PRESSO,VXI+Manual,"Bellahalli, Bengaluru",HatchBack,2022,Maruti,45872,1ST OWNER,PETROL,KA-16,489000,524000,Manual
330,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"GT World Mall, Bengaluru",HatchBack,2015,Hyundai,46988,1ST OWNER,PETROL,KA-03,448000,528000,Manual
331,Hyundai Grand i10,MAGNA 1.1 CRDIManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,76009,1ST OWNER,DIESEL,KA-51,444000,475000,Manual
332,Maruti New Wagon-R,ZXI 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,33793,2ND OWNER,PETROL,KA-53,612000,667000,Automatic
333,Renault Kwid,RXT 1.0Manual,"Bellahalli, Bengaluru",HatchBack,2017,Renault,43199,1ST OWNER,PETROL,KA-06,392000,399000,Manual
334,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,63782,1ST OWNER,PETROL,KA-03,460000,515000,Manual
335,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,25960,1ST OWNER,PETROL,KA-05,506000,550000,Manual
336,Maruti Wagon R 1.0,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2010,Maruti,69120,2ND OWNER,PETROL,KA-04,276000,317000,Manual
337,Tata Tiago,XZ PETROLManual,"Bellahalli, Bengaluru",HatchBack,2016,Tata,142372,1ST OWNER,PETROL,KA-03,433000,461000,Manual
338,Honda Jazz,1.2L I-VTEC VXManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Honda,70235,1ST OWNER,PETROL,KA-03,543000,640000,Manual
339,Maruti Baleno,ZETA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,21957,1ST OWNER,PETROL,KA-17,677000,705000,Manual
340,Renault Kwid,RXT 0.8Manual,Sonnappanahalli,HatchBack,2015,Renault,90079,1ST OWNER,PETROL,KA-51,309300,309300,Manual
341,Hyundai Elite i20,ASTA 1.2 (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,93975,1ST OWNER,PETROL,KA-03,618000,700000,Manual
342,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Horamavu Agara Road, Bengaluru",HatchBack,2019,Renault,5083,2ND OWNER,PETROL,KA-50,506000,541000,Automatic
343,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Renault,22474,1ST OWNER,PETROL,KA-50,555000,586000,Automatic
344,Renault Kwid,RXT 1.0 (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Renault,21997,1ST OWNER,PETROL,KA-03,441000,472000,Manual
345,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,Sonnappanahalli,HatchBack,2017,Hyundai,70381,1ST OWNER,PETROL,KA-50,565000,615000,Manual
346,Hyundai Elite i20,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,40335,1ST OWNER,PETROL,KA-51,577000,652000,Manual
347,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,80863,2ND OWNER,PETROL,KA-05,356000,415000,Manual
348,Maruti Baleno,DELTA PETROL 1.2Manual,Sonnappanahalli,HatchBack,2020,Maruti,5521,1ST OWNER,PETROL,KA-05,722000,753000,Manual
349,Maruti Celerio,ZXI AMT (O)Automatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2018,Maruti,64453,1ST OWNER,PETROL,KA-41,484000,528000,Automatic
350,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Maruti,29289,1ST OWNER,PETROL,KA-03,567000,629000,Manual
351,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Hyundai,69199,2ND OWNER,PETROL,KA-53,564000,621000,Manual
352,Maruti Celerio,VXIManual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,41268,2ND OWNER,PETROL,KA-05,419000,437000,Manual
353,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,32168,1ST OWNER,PETROL,KA-03,436000,540000,Manual
354,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,39693,2ND OWNER,PETROL,KA-01,524000,583000,Automatic
355,Maruti New Wagon-R,ZXI 1.2 AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Maruti,3725,1ST OWNER,PETROL,KA-05,650000,702000,Automatic
356,Renault Kwid,RXT 0.8 (O)Manual,Sonnappanahalli,HatchBack,2016,Renault,66707,1ST OWNER,PETROL,KA-51,341000,351000,Manual
357,Maruti Baleno,ZETA PETROL 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,80830,1ST OWNER,PETROL,KA-03,651000,714000,Manual
358,Honda Jazz,1.2 V MTManual,"Bellahalli, Bengaluru",HatchBack,2017,Honda,45938,2ND OWNER,PETROL,KA-03,579000,785000,Manual
359,Maruti Baleno,DELTA PETROL 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2016,Maruti,39674,1ST OWNER,PETROL,KA-51,638000,638000,Manual
360,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,51086,1ST OWNER,PETROL,KA-05,502000,555000,Automatic
361,Maruti Celerio,VXIManual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,40997,2ND OWNER,PETROL,KA-03,444000,456000,Manual
362,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Maruti,51489,1ST OWNER,PETROL,KA-03,500000,515000,Manual
363,Tata Tiago,XZ PLUS DUAL TONE PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Tata,35383,1ST OWNER,PETROL,KA-53,660000,696000,Manual
364,Maruti Celerio,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,30876,1ST OWNER,PETROL,KA-03,404000,450000,Manual
365,Maruti Baleno,ZETA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,116624,1ST OWNER,PETROL,KA-21,628000,653000,Manual
366,Maruti Celerio,VXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,20017,1ST OWNER,PETROL,KA-51,519000,558000,Automatic
367,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"GT World Mall, Bengaluru",HatchBack,2016,Hyundai,54659,2ND OWNER,PETROL,KA-03,458000,554000,Automatic
368,Maruti Celerio,VXI AMT (O)Automatic,"Bellahalli, Bengaluru",HatchBack,2019,Maruti,45551,1ST OWNER,PETROL,KA-03,529000,593000,Automatic
369,Hyundai Elite i20,ASTA 1.4 CRDI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,125227,2ND OWNER,DIESEL,KA-03,671000,711000,Manual
370,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,27518,2ND OWNER,PETROL,KA-53,504000,515000,Manual
371,Honda Jazz,1.2L I-VTEC ZXManual,"Horamavu Agara Road, Bengaluru",HatchBack,2021,Honda,25802,1ST OWNER,PETROL,KA-01,826000,867000,Manual
372,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,44807,1ST OWNER,PETROL,KA-03,355000,384000,Manual
373,Honda Jazz,1.2L I-VTEC VXManual,"Bellahalli, Bengaluru",HatchBack,2017,Honda,60442,2ND OWNER,PETROL,KA-05,528000,625000,Manual
374,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,60197,2ND OWNER,PETROL,KA-51,393700,494000,Manual
375,Hyundai i20 Active,1.4 SXManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,83856,2ND OWNER,DIESEL,KA-50,665000,698000,Manual
376,Hyundai GRAND I10 NIOS,ASTA AMT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Hyundai,22234,2ND OWNER,PETROL,KA-36,720000,785000,Automatic
377,Hyundai i20,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2012,Hyundai,40296,1ST OWNER,PETROL,KA-05,457000,480000,Manual
378,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Hyundai,86046,1ST OWNER,PETROL,KA-21,504000,541000,Manual
379,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Hyundai,44212,2ND OWNER,PETROL,KA-53,464000,532000,Manual
380,Maruti Alto,LXI OManual,"Bellahalli, Bengaluru",HatchBack,2019,Maruti,41958,1ST OWNER,PETROL,KA-51,370000,428000,Manual
381,Maruti S PRESSO,VXI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,42954,1ST OWNER,PETROL,KA-52,472000,502000,Manual
382,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2012,Maruti,66346,1ST OWNER,PETROL,KA-03,430000,474000,Manual
383,Tata Tiago,XZA PLUS DUAL TONE PETROLAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Tata,26591,1ST OWNER,PETROL,KA-53,706000,748000,Automatic
384,Hyundai GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Hyundai,23056,1ST OWNER,PETROL,KA-03,722000,782000,Automatic
385,Honda Jazz,1.2L I-VTEC VX CVTAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2019,Honda,63460,1ST OWNER,PETROL,KA-05,774000,946000,Automatic
386,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Maruti,57604,1ST OWNER,PETROL,KA-51,519000,585000,Manual
387,Maruti Celerio X,ZXI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,17125,2ND OWNER,PETROL,KA-01,530000,605000,Manual
388,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2012,Maruti,42762,1ST OWNER,PETROL,KA-04,441000,501000,Manual
389,Honda Brio,S MTManual,"Bellahalli, Bengaluru",HatchBack,2012,Honda,79059,2ND OWNER,PETROL,KA-51,329000,359000,Manual
390,Renault Kiger,RXZ CVT 1.0 TURBOAutomatic,"Bellahalli, Bengaluru",HatchBack,2021,Renault,32302,1ST OWNER,PETROL,KA-51,967000,1162000,Automatic
391,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Bellahalli, Bengaluru",HatchBack,2020,Renault,11662,2ND OWNER,PETROL,KA-01,582000,582000,Automatic
392,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2016,Maruti,30740,1ST OWNER,PETROL,KA-41,592000,650000,Manual
393,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Maruti,52802,2ND OWNER,PETROL,KA-05,475000,515000,Manual
394,Nissan Micra,XV CVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Nissan,33902,2ND OWNER,PETROL,KA-05,488000,562000,Automatic
395,Maruti Alto 800,VXI OManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Maruti,41690,2ND OWNER,PETROL,KA-53,309000,341000,Manual
396,Hyundai i20,SPORTZ 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Hyundai,47092,2ND OWNER,PETROL,KA-03,477000,525000,Manual
397,Maruti Celerio X,ZXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,42174,1ST OWNER,PETROL,KA-51,516000,553000,Automatic
398,Hyundai NEW SANTRO,SPORTZ AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Hyundai,38985,1ST OWNER,PETROL,KA-50,541000,583000,Automatic
399,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Hyundai,56719,2ND OWNER,PETROL,KA-04,456000,572000,Automatic
400,Hyundai Elite i20,ASTA 1.4 CRDI (O)Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,67764,1ST OWNER,DIESEL,KA-50,738000,738000,Manual
401,Hyundai Elite i20,ASTA 1.2Manual,Sonnappanahalli,HatchBack,2016,Hyundai,31983,1ST OWNER,PETROL,KA-05,721000,742000,Manual
402,Maruti Swift,VXI AMTAutomatic,"GT World Mall, Bengaluru",HatchBack,2018,Maruti,87660,1ST OWNER,PETROL,KA-01,612000,705000,Automatic
403,Maruti Alto,VXI PLUSManual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,24343,2ND OWNER,PETROL,KA-51,429000,468000,Manual
404,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Hyundai,26580,2ND OWNER,PETROL,KA-03,402000,417000,Manual
405,Maruti IGNIS,ZETA 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,74643,1ST OWNER,PETROL,KA-06,520000,568000,Automatic
406,Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,20042,1ST OWNER,PETROL,KA-51,498000,558000,Manual
407,Honda Brio,S MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Honda,22262,2ND OWNER,PETROL,KA-03,407000,431000,Manual
408,Tata Tiago,XT PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Tata,68039,2ND OWNER,PETROL,KA-53,478000,515000,Manual
409,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2020,Renault,12341,1ST OWNER,PETROL,KA-05,541000,582000,Automatic
410,Maruti Ritz,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Maruti,106747,1ST OWNER,PETROL,KA-04,360000,389000,Manual
411,Honda Brio,V MTManual,"Bellahalli, Bengaluru",HatchBack,2014,Honda,64312,1ST OWNER,PETROL,KA-01,368000,413000,Manual
412,Honda Brio,S(O) MTManual,"Bellahalli, Bengaluru",HatchBack,2012,Honda,60181,2ND OWNER,PETROL,KA-05,317000,358000,Manual
413,Maruti Celerio,ZXIManual,"GT World Mall, Bengaluru",HatchBack,2020,Maruti,37365,1ST OWNER,PETROL,KA-51,511000,524000,Manual
414,Maruti Celerio,ZXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,52209,1ST OWNER,PETROL,KA-51,433000,487000,Manual
415,Hyundai i20,ASTA 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Hyundai,44326,1ST OWNER,PETROL,KA-04,480000,504000,Manual
416,Maruti Swift,LXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,44437,1ST OWNER,PETROL,KA-01,435000,465000,Manual
417,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2019,Hyundai,42976,1ST OWNER,PETROL,KA-04,577000,637000,Manual
418,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,44268,2ND OWNER,PETROL,KA-04,580000,620000,Manual
419,Maruti Swift,ZXIManual,"GT World Mall, Bengaluru",HatchBack,2016,Maruti,43946,1ST OWNER,PETROL,KA-51,669000,676000,Manual
420,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Hyundai,73975,1ST OWNER,PETROL,KA-02,433000,487000,Manual
421,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVTAutomatic,"GT World Mall, Bengaluru",HatchBack,2015,Hyundai,70864,1ST OWNER,PETROL,KA-02,473000,545000,Automatic
422,Hyundai NEW I20,Asta 1.0 GDI Turbo IMTManual,"Bellahalli, Bengaluru",HatchBack,2020,Hyundai,14949,1ST OWNER,PETROL,KA-05,992000,992000,Manual
423,Renault Kiger,RXZ CVT 1.0 TURBO DUAL TONEAutomatic,"Bellahalli, Bengaluru",HatchBack,2021,Renault,14608,1ST OWNER,PETROL,KA-04,947000,1177000,Automatic
424,Maruti Swift,VDIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,97871,2ND OWNER,DIESEL,KA-02,441000,504000,Manual
425,Maruti Swift,VXIManual,"GT World Mall, Bengaluru",HatchBack,2015,Maruti,35250,1ST OWNER,PETROL,KA-02,548000,591000,Manual
426,Maruti Celerio,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,15356,1ST OWNER,PETROL,KA-01,506000,535000,Manual
427,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Bellahalli, Bengaluru",HatchBack,2020,Renault,20248,1ST OWNER,PETROL,KA-04,516000,582000,Automatic
428,Renault Kwid,CLIMBER 1.0 (O)Manual,"Bellahalli, Bengaluru",HatchBack,2021,Renault,20023,1ST OWNER,PETROL,KA-14,527000,578000,Manual
429,Maruti IGNIS,DELTA 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,42622,3RD OWNER,PETROL,KA-03,543350,597000,Automatic
430,Hyundai i20 Active,1.2 SXManual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,43031,1ST OWNER,PETROL,KA-04,714000,788000,Manual
431,Renault Kwid,RXT 1.0 (O)Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2019,Renault,26039,1ST OWNER,PETROL,KA-50,423000,463000,Manual
432,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2014,Maruti,24700,1ST OWNER,PETROL,KA-03,496000,565000,Manual
433,Honda Brio,S MTManual,"Bellahalli, Bengaluru",HatchBack,2013,Honda,81100,2ND OWNER,PETROL,KA-51,316000,338000,Manual
434,Hyundai Elite i20,ASTA 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2015,Hyundai,53606,1ST OWNER,PETROL,KA-51,665000,683000,Manual
435,Maruti Celerio,VXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,36209,2ND OWNER,PETROL,KA-05,425000,442000,Automatic
436,Maruti Baleno,ZETA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,69310,1ST OWNER,PETROL,KA-05,653000,714000,Manual
437,Renault Kwid,CLIMBER 1.0 (O) DUAL TONEManual,"Bellahalli, Bengaluru",HatchBack,2021,Renault,19062,1ST OWNER,PETROL,KA-51,514600,557000,Manual
438,Renault Kwid,CLIMBER 1.0Manual,"Bellahalli, Bengaluru",HatchBack,2019,Renault,52231,1ST OWNER,PETROL,KA-13,417000,450000,Manual
439,Hyundai NEW I20,ASTA (O) 1.0 TURBO GDI DCTAutomatic,"Bellahalli, Bengaluru",HatchBack,2021,Hyundai,14951,1ST OWNER,PETROL,KA-05,1087000,1154000,Automatic
440,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2013,Hyundai,91279,2ND OWNER,PETROL,KA-03,349000,374000,Automatic
441,Maruti Celerio,VXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Maruti,76039,2ND OWNER,PETROL,KA-01,416000,452000,Automatic
442,Tata Tiago,XZ PETROLManual,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Tata,24357,1ST OWNER,PETROL,KA-05,651000,683000,Manual
443,Maruti Baleno,DELTA PETROL 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Maruti,76794,1ST OWNER,PETROL,KA-01,630000,641000,Manual
444,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,121403,1ST OWNER,PETROL,KA-51,268000,283000,Manual
445,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2018,Hyundai,17190,1ST OWNER,PETROL,KA-03,556000,601000,Manual
446,Maruti IGNIS,DELTA 1.2 AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Maruti,16202,1ST OWNER,PETROL,KA-03,611000,644000,Automatic
447,Honda Brio,S MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Honda,69210,1ST OWNER,PETROL,KA-01,338000,367000,Manual
448,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,85038,1ST OWNER,PETROL,KA-04,522000,568000,Manual
449,Maruti Baleno,ALPHA DIESEL 1.3Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,61263,1ST OWNER,DIESEL,KA-05,749000,799000,Manual
450,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,124340,2ND OWNER,PETROL,KA-51,363000,436000,Manual
451,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,12983,1ST OWNER,PETROL,KA-05,753000,785000,Manual
452,Maruti IGNIS,ZETA 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,47488,2ND OWNER,PETROL,KA-04,557000,624000,Automatic
453,Maruti Celerio,ZXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,57521,1ST OWNER,PETROL,KA-42,441000,474000,Manual
454,Honda Jazz,1.2L I-VTEC SVManual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Honda,56814,1ST OWNER,PETROL,KA-03,538000,568000,Manual
455,Honda Jazz,1.2 VX I-VTECHManual,"Bellahalli, Bengaluru",HatchBack,2016,Honda,65072,1ST OWNER,PETROL,KA-01,624000,757000,Manual
456,Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVTManual,Sonnappanahalli,HatchBack,2019,Hyundai,27937,1ST OWNER,PETROL,KA-41,652000,702000,Manual
457,Maruti Baleno,ALPHA 1.2 AGSAutomatic,Sonnappanahalli,HatchBack,2022,Maruti,20973,1ST OWNER,PETROL,KA-03,948000,995000,Automatic
458,Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Hyundai,65730,2ND OWNER,PETROL,KA-06,524000,567000,Manual
459,Maruti Alto,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2021,Maruti,21104,1ST OWNER,PETROL,KA-04,408000,457000,Manual
460,Hyundai Elite i20,ASTA 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Hyundai,54154,1ST OWNER,PETROL,KA-01,603000,693000,Manual
461,Renault Kwid,RXL 1.0 AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2021,Renault,23628,1ST OWNER,PETROL,KA-09,515000,538000,Automatic
462,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Hyundai,57176,1ST OWNER,PETROL,KA-03,548000,602000,Manual
463,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,70067,2ND OWNER,PETROL,KA-13,368000,383000,Manual
464,Maruti Celerio,ZXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,99579,2ND OWNER,PETROL,KA-04,397000,469000,Automatic
465,Honda Jazz,1.2L I-VTEC V ATAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Honda,28117,2ND OWNER,PETROL,KA-02,690000,751000,Automatic
466,Hyundai Elite i20,ASTA 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,46431,1ST OWNER,PETROL,KA-51,702300,735000,Manual
467,Datsun Redi Go,T(O) 1.0 AMTAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2020,Datsun,4512,1ST OWNER,PETROL,KA-01,521000,521000,Automatic
468,Maruti Alto 800,LXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Maruti,29281,1ST OWNER,PETROL,KA-05,280000,327000,Manual
