,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
360,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,51086,1ST OWNER,PETROL,KA-05,502000,555000,Automatic,7,7298,5 lakh-10 lakh
361,Maruti Celerio,VXIManual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,40997,2ND OWNER,PETROL,KA-03,444000,456000,Manual,6,6832.833333,2.5 lakh-5 lakh
362,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Maruti,51489,1ST OWNER,PETROL,KA-03,500000,515000,Manual,9,5721,5 lakh-10 lakh
363,Tata Tiago,XZ PLUS DUAL TONE PETROLManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Tata,35383,1ST OWNER,PETROL,KA-53,660000,696000,Manual,3,11794.33333,5 lakh-10 lakh
364,Maruti Celerio,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,30876,1ST OWNER,PETROL,KA-03,404000,450000,Manual,9,3430.666667,2.5 lakh-5 lakh
365,Maruti Baleno,ZETA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,116624,1ST OWNER,PETROL,KA-21,628000,653000,Manual,7,16660.57143,5 lakh-10 lakh
366,Maruti Celerio,VXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,20017,1ST OWNER,PETROL,KA-51,519000,558000,Automatic,4,5004.25,5 lakh-10 lakh
367,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"GT World Mall, Bengaluru",HatchBack,2016,Hyundai,54659,2ND OWNER,PETROL,KA-03,458000,554000,Automatic,7,7808.428571,2.5 lakh-5 lakh
368,Maruti Celerio,VXI AMT (O)Automatic,"Bellahalli, Bengaluru",HatchBack,2019,Maruti,45551,1ST OWNER,PETROL,KA-03,529000,593000,Automatic,4,11387.75,5 lakh-10 lakh
369,Hyundai Elite i20,ASTA 1.4 CRDI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,125227,2ND OWNER,DIESEL,KA-03,671000,711000,Manual,6,20871.16667,5 lakh-10 lakh
