,Car_Model,Configuration,Type,Discounted_Price,Location
45,2017 Honda WR-V,"34,636 KM
1ST OWNER
PETROL
KA-01",1.2L I-VTEC S MTManual,"₹6,80,400
₹7,16,000","Garuda Mall, Magrath Road, Bengaluru"
46,2018 Ford FREESTYLE,"87,777 KM
2ND OWNER
DIESEL
KA-03",TREND 1.5 DIESELManual,"₹5,52,000
₹6,16,000","Bellahalli, Bengaluru"
47,2020 KIA SELTOS,"11,840 KM
2ND OWNER
DIESEL
KA-51",HTK PLUS 1.5 DIESELManual,"₹13,59,000
₹14,65,000","Garuda Mall, Magrath Road, Bengaluru"
48,2018 Ford Ecosport,"35,443 KM
2ND OWNER
PETROL
TN-39",TITANIUM 1.5L PETROLManual,"₹7,14,000
₹8,55,000","Bellahalli, Bengaluru"
49,2018 Maruti Vitara Brezza,"55,927 KM
1ST OWNER
DIESEL
KA-51",ZDI PLUS AMTAutomatic,"₹9,70,000
₹10,82,000","Garuda Mall, Magrath Road, Bengaluru"
50,2020 Tata NEXON,"27,750 KM
1ST OWNER
DIESEL
KA-03",XM DIESELManual,"₹9,16,000
₹9,45,000","Garuda Mall, Magrath Road, Bengaluru"
51,2020 Renault Duster,"20,600 KM
2ND OWNER
PETROL
KA-03",RXZ 1.5 PETROL MTManual,"₹9,50,000
₹11,15,000","Hosur Road, Singasandra, Bengaluru"
52,2016 Maruti S Cross,"76,836 KM
2ND OWNER
DIESEL
KA-05",ZETA 1.3Manual,"₹7,51,000
₹8,59,000","Garuda Mall, Magrath Road, Bengaluru"
53,2022 KIA SELTOS,"10,845 KM
1ST OWNER
PETROL
KA-05",HTX 1.5 PETROLManual,"₹14,58,000
₹15,38,000","Garuda Mall, Magrath Road, Bengaluru"
54,2020 Renault Duster,"49,139 KM
1ST OWNER
PETROL
KA-59",RXZ 1.3 TURBO PETROL MTManual,"₹9,03,000
₹11,15,000","Garuda Mall, Magrath Road, Bengaluru"
55,2019 Hyundai VENUE,"95,880 KM
1ST OWNER
PETROL
KA-05",SX PLUS 1.0 TURBO DCTAutomatic,"₹9,62,000
₹10,20,000","GT World Mall, Bengaluru"
56,2022 Nissan MAGNITE,"18,809 KM
2ND OWNER
PETROL
KA-03",XV PREMIUMManual,"₹8,44,000
₹8,90,000","Garuda Mall, Magrath Road, Bengaluru"
57,2019 KIA SELTOS,"24,270 KM
2ND OWNER
PETROL
KA-01",GTX PLUS DCT 1.4 PETROLAutomatic,"₹14,38,000
₹15,77,000","Horamavu Agara Road, Bengaluru"
58,2021 Nissan MAGNITE,"13,948 KM
1ST OWNER
PETROL
KA-09",XV TURBOManual,"₹8,17,000
₹8,48,000","Garuda Mall, Magrath Road, Bengaluru"
59,2021 Tata NEXON,"14,244 KM
2ND OWNER
PETROL
KA-05",XMA PETROLAutomatic,"₹9,06,000
₹9,24,000","Garuda Mall, Magrath Road, Bengaluru"
60,2016 Hyundai Creta,"75,598 KM
2ND OWNER
PETROL
KA-05",SX PLUS AT 1.6 PETROLAutomatic,"₹9,10,000
₹9,78,000","Garuda Mall, Magrath Road, Bengaluru"
61,2018 Mahindra KUV 100 NXT,"32,207 KM
1ST OWNER
PETROL
KA-05",K8 P 6 STRManual,"₹5,82,000
₹6,20,000","GT World Mall, Bengaluru"
62,2018 Ford Ecosport,"29,552 KM
2ND OWNER
PETROL
KA-01",TITANIUM 1.5L PETROLManual,"₹7,81,000
₹8,22,000","Garuda Mall, Magrath Road, Bengaluru"
63,2019 Tata NEXON,"44,452 KM
1ST OWNER
PETROL
KA-51",XZA PLUS PETROL DUAL TONEAutomatic,"₹8,39,000
₹8,59,000","Garuda Mall, Magrath Road, Bengaluru"
64,2017 Hyundai Creta,"74,511 KM
3RD OWNER
PETROL
KA-03",SX PLUS AT 1.6 PETROLAutomatic,"₹9,62,000
₹9,99,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
65,2016 Honda BR-V,"79,061 KM
2ND OWNER
PETROL
KA-03",1.5L I-VTEC V CVTAutomatic,"₹7,99,000
₹8,42,000","Hosur Road, Singasandra, Bengaluru"
66,2017 Honda WR-V,"62,997 KM
1ST OWNER
DIESEL
KA-53",1.5L I-DTEC VX MTManual,"₹7,86,000
₹8,35,000","Garuda Mall, Magrath Road, Bengaluru"
67,2020 Hyundai Creta,"30,113 KM
1ST OWNER
PETROL
KA-41",SX (O) 1.4 TURBO DCTAutomatic,"₹16,77,000
₹17,83,000","Garuda Mall, Magrath Road, Bengaluru"
68,2018 Maruti Vitara Brezza,"72,152 KM
2ND OWNER
DIESEL
KA-30",ZDI PLUS AT DUAL TONEAutomatic,"₹9,05,000
₹10,71,000","Bellahalli, Bengaluru"
69,2019 Hyundai Creta,"42,892 KM
2ND OWNER
PETROL
KA-04",SX AT 1.6 PETROLAutomatic,"₹11,28,000
₹11,98,000","Bellahalli, Bengaluru"
70,2019 Mahindra XUV 3OO,"57,202 KM
1ST OWNER
PETROL
KA-05",W8 (O) 1.2 PETROLManual,"₹9,25,000
₹10,82,000","Garuda Mall, Magrath Road, Bengaluru"
71,2014 Renault Duster,"1,06,334 KM
1ST OWNER
DIESEL
KA-03",110 PS RXZ 4X4 MT DIESELManual,"₹6,81,000
₹6,99,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
72,2019 Ford Ecosport,"45,133 KM
1ST OWNER
PETROL
KA-01",TITANIUM + 1.5L PETROLManual,"₹9,32,000
₹9,80,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
73,2019 KIA SELTOS,"38,093 KM
1ST OWNER
PETROL
KA-51",GTX + AT PETROLAutomatic,"₹15,49,000
₹18,81,000","Garuda Mall, Magrath Road, Bengaluru"
74,2019 Honda WR-V,"36,876 KM
1ST OWNER
PETROL
KA-53",1.2L I-VTEC VX MTManual,"₹7,92,000
₹8,07,000","Bellahalli, Bengaluru"
75,2017 Ford Ecosport,"24,395 KM
1ST OWNER
PETROL
KA-03",TREND + 1.5L PETROL ATAutomatic,"₹7,04,000
₹7,71,000","GT World Mall, Bengaluru"
76,2017 Hyundai Creta,"71,570 KM
2ND OWNER
PETROL
KA-41",E PLUS 1.6 PETROLManual,"₹8,90,000
₹9,08,000",Sonnappanahalli
77,2020 Hyundai Creta,"30,420 KM
1ST OWNER
PETROL
KA-41",SX (O) IVT 1.5 PETROLAutomatic,"₹16,79,000
₹18,37,000","Garuda Mall, Magrath Road, Bengaluru"
78,2017 Hyundai Creta,"58,203 KM
1ST OWNER
PETROL
KA-51",SX PLUS 1.6 PETROLManual,"₹10,33,000
₹10,65,000","Garuda Mall, Magrath Road, Bengaluru"
79,2017 Renault Duster,"38,520 KM
1ST OWNER
PETROL
KA-41",RXL PETROLManual,"₹7,69,000
₹8,49,000","Bellahalli, Bengaluru"
80,2022 Nissan MAGNITE,"11,295 KM
1ST OWNER
PETROL
KA-01",XV TURBOManual,"₹8,89,000
₹9,33,000","Garuda Mall, Magrath Road, Bengaluru"
