,Car_Model,Configuration,Type,Discounted_Price,Location
650,2017 Maruti Baleno,"84,422 KM
1ST OWNER
PETROL
KA-53",DELTA PETROL 1.2Manual,"₹5,04,000
₹5,46,000","Bellahalli, Bengaluru"
651,2010 Volkswagen Polo,"52,771 KM
2ND OWNER
PETROL
KA-03",COMFORTLINE 1.2L PETROLManual,"₹3,35,000
₹3,57,000","Bellahalli, Bengaluru"
652,2018 Maruti Baleno,"60,281 KM
2ND OWNER
DIESEL
KA-50",SIGMA DIESEL 1.3Manual,"₹5,74,000
₹6,09,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
653,2011 Maruti Ritz,"75,879 KM
2ND OWNER
DIESEL
KA-04",VDIManual,"₹3,32,000
₹3,71,000","Horamavu Agara Road, Bengaluru"
654,2017 Renault Kwid,"49,779 KM
3RD OWNER
PETROL
KA-41",CLIMBER 1.0 AMTAutomatic,"₹3,58,000
₹3,65,000","Bellahalli, Bengaluru"
655,2011 Maruti Swift,"82,830 KM
2ND OWNER
PETROL
KA-05",VXIManual,"₹3,38,000
₹3,47,000","Bellahalli, Bengaluru"
656,2010 Maruti Swift,"99,276 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹3,19,000
₹3,68,000","Hosur Road, Singasandra, Bengaluru"
657,2010 Hyundai i20,"90,842 KM
2ND OWNER
PETROL
KA-03",MAGNA 1.2Manual,"₹2,93,000
₹2,98,000",Sonnappanahalli
658,2017 Renault Kwid,"30,810 KM
1ST OWNER
PETROL
KA-02",1.0 RXT 02 Anniversary EditionManual,"₹3,57,000
₹3,64,000","Bellahalli, Bengaluru"
659,2012 Hyundai i20,"64,958 KM
2ND OWNER
DIESEL
KA-01",MAGNA (O) 1.4 CRDIManual,"₹3,57,000
₹3,66,000","Bellahalli, Bengaluru"
660,2017 Maruti Alto K10,"20,229 KM
2ND OWNER
PETROL
KA-04",VXI OPTManual,"₹3,49,000
₹3,84,000","Bellahalli, Bengaluru"
661,2011 Hyundai i10,"1,03,823 KM
1ST OWNER
PETROL
KA-03",ERA 1.1Manual,"₹2,25,000
₹2,47,000","Hosur Road, Singasandra, Bengaluru"
662,2016 Honda Jazz,"76,046 KM
2ND OWNER
PETROL
KA-41",1.2 S MTManual,"₹4,78,000
₹5,51,000","Bellahalli, Bengaluru"
663,2015 Maruti Ritz,"40,818 KM
1ST OWNER
PETROL
KA-02",VXIManual,"₹4,47,000
₹5,14,000","GT World Mall, Bengaluru"
